,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,13.0,17.4,21.0,30.2,34.6,35.4,49.0,55.8,57.0,77.4,62.6,,,,,,,,
5,17.5,23.0,25.5,33.0,36.0,46.5,53.0,58.0,67.5,78.0,,,,,,,,,
