,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
4,19.8,41.8,100.2,157.0,259.0,441.8,955.4,1434.2,,,,,,,,,,,
5,24.5,57.5,97.0,259.0,429.5,665.5,1638.5,2314.5,,,,,,,,,,,
