,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2,6.0,10.2,16.4,30.4,55.4,73.6,109.6,154.4,302.2,337.8,524.0,792.4,,,,,,,
3,12.4,24.1,49.3,81.1,138.7,244.6,381.1,786.7,568.6,331.0,3049.3,4821.7,,,,,,,
