,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2,5.4,7.4,11.2,16.6,18.6,28.8,25.0,40.6,56.2,51.0,78.8,93.0,80.0,133.8,138.2,159.8,,,
3,8.8,14.8,16.9,23.2,27.7,32.8,42.7,40.3,55.9,53.2,82.9,81.7,86.2,106.0,110.2,,,,
